gpu_name,benchmark_score,tier
HD 7660G + HD 7500M/7600M Dual,999,B
HD 7640G + HD 8750M Dual,997,B
R5 340,996,B
HD 8570,991,B
Quadro 2000D,989,B
R7 A12 9800 RADEON,989,B
HD 7560D + 7570 Dual,985,B
HD 530,984,B
HD 8690M,984,B
HD 7560D + 7560D Dual,983,B
Quadro FX 4800,979,B
830M,976,B
HD 8670D + 8570 Dual,974,B
FirePro V4900,974,B
HD 8850M,973,B
HD 7660G N HD 7660G + HD 7700M N HD 7700M D,967,B
R7 M465,965,B
HD 6770M,964,B
HD 8570D + R7 240 Dual,964,B
R7 PRO A12 8870E,962,B
R7 M270DX,962,B
R7 A10 PRO 7850B,958,B
GT 645M,958,B
R6 Opteron X3418,955,B
R7 A265,955,B
FirePro W4170M,953,B
HD 4850,953,B
Qualcomm Adreno 690 GPU,952,B
HD 8670D + R7 200 Dual,950,B
HD 8570 + HD 7660D Dual,949,B
R7 M260X,947,B
Quadro CX,947,B
HD 6670/7670,946,B
HD 7640G + 7690M Dual,946,B
530,945,B
zxcvIntel HD 620,944,B
HD 7660D + R7 240 Dual,942,B
Quadro 2000,942,B
R7 A12 9800E RADEON,941,B
R7 PRO A12 9800E,940,B
R5 430,939,B
HD 6750M,937,B
HD 7560D + HD 8570 Dual,936,B
HD 7660G + 7730M Dual,931,B
R7 340,931,B
R7 240 + HD 8670D Dual,930,B
R9 M265X,929,B
Radeon. HD 7730M,928,B
Iris Pro 6100,925,B
HD Graphics 620,923,B
R9 M280X,922,B
R7 240 + HD 8570D Dual,918,B
R7 M445,913,B
GRID K220Q,912,B
6750M,911,B
GT 640M,907,B
Iris 6100,907,B
HD 4770,906,B
Barco MXRT 7400,901,B
HD 8550G + 7600M Dual,901,B
Barco MXRT 2600,900,B
R7 + R5 Dual,898,B
7900 MOD Radeon HD 6550D,893,B
FirePro W2100,890,B
UHD 620,889,B
Vega 3,889,B
HD 8650G + 7670M Dual,884,B
R7 M365X,884,B
R7 PRO A12 8830B,883,B
HD 7660G + HD 7730M Dual,882,B
GT 445M,881,B
E6760,877,B
LMIMIRR,875,B
920A,872,B
R7 G,870,B
HD 8570D + HD 6570 Dual,868,B
HD 520,866,B
Mobility Radeon HD 4850,866,B
R7 240,863,B
HD 8470D + HD 6450 Dual,863,B
R7 M440,862,B
HD 4830,860,B
HD 8750M,860,B
HD 8550G + HD 7600M Dual,855,B
FirePro 3D V4800,854,B
HD 8500M/8700M,853,B
GT 635,852,B
HD 6000,851,B
UHD 617,848,B
R5 435,841,B
620,840,B
FireGL V8600,839,B
HD 8470D + 6570 Dual,838,B
HD 8670D + R5 235 Dual,837,B
HD 6650A,836,B
520,833,B
HD 7560D + 6570 Dual,833,B
HD 7520G + HD 7500/7600 Dual,832,B
HD 7660G + 7600M Dual,832,B
HD 8650G + 8600/8700M Dual,832,B
HD 5200,830,B
3DP Edition,827,B
HD 7640G N HD 7640G + HD 7600M N HD 7600M D,824,B
HD 3850 X2,822,B
HD 7540D + 7500 Dual,822,B
R7 M260DX,822,B
HD 8650G + HD 7600M Dual,820,B
HD 8550G + HD 8750M Dual,819,B
GT 730M,816,B
R7 A10 Extreme Edition,816,B
535DX,813,B
HD 7670,813,B
GT 730,812,B
HD 8670D + 7000 Dual,812,B
GRID K1,811,B
R8 M445DX,806,B
HD 8550G + 8600/8700M Dual,803,B
HD 8650G + HD 8790M Dual,800,B
9800 GX2,798,B
HD 8550G + 8750M Dual,796,B
HD 8650G N HD 8650G + HD 8600/8700M Dual,796,B
R5 M435,796,B
HD 8650G + 8750M Dual,787,B
HD 5670,784,B
R7 A365,781,B
Quadro FX 3800,780,B
GT 740M,779,B
HD 8650G + HD 8750M Dual,779,B
HD 7660G + HD 7700M Dual,777,B
HD 7640G + 7500M/7600M Dual,776,B
Quadro K420,775,B
R7 FX 8800P,775,B
RadeonT Vega 3,775,B
GT 340,774,B
HD 7600M + 7600M Dual,773,B
HD 8650G N HD 8650G + HD 8570M Dual,773,B
Quadro K1000M,773,B
Quadro 2000M,773,B
Mobility Radeon HD 5000,773,B
HD 4810,769,B
730A,769,B
9800 GTX,769,B
Quadro K600,769,B
825M,769,B
GT 440,766,B
HD 8650G + HD 8600/8700M Dual,764,B
HD 6450 + 8470D Dual,763,B
R9 M375,763,B
Mobility Radeon HD 5850,763,B
HD 7660G + HD 7500/7600 Dual,760,B
UHD 615,760,B
R7 A12 9720P RADEON,759,B
HD 8650G + HD 8600M N HD 8600M Dual,758,B
HD 7660G + HD 8500M Dual,758,B
Iris 5100,758,B
HD 7660G + 7700M Dual,757,B
Quadro 1100M,755,B
