canonical_name,cpu_name_normal,manufacturer,benchmark_score,cores,tdp,socket,category
AMD Turion 64 Mobile ML-30,Turion 64 Mobile ML 30,AMD,277,1,35.0,754,Laptop
AMD Turion 64 Mobile ML-34,Turion 64 Mobile ML 34,AMD,277,1,35.0,754,Laptop
Mobile AMD Sempron 3100+,Mobile AMD Sempron 3100+,AMD,277,1,,unknown,Laptop
Rockchip RK3326,Rockchip RK3326,Unknown,277,4,,unknown,Mobile/Embedded
Spreadtrum SC7731e,Spreadtrum SC7731e,Unknown,277,4,,unknown,Unknown
AMD Athlon XP 2900+,Athlon XP 2900+,AMD,276,1,,unknown,Unknown
Intel Atom D2500,Atom D2500,Intel,275,2,10.0,BGA559,Desktop
AMD Athlon 2650e,Athlon 2650e,AMD,274,1,15.0,AM2,Desktop
AMD Athlon TF-20,Athlon TF 20,AMD,272,1,15.0,unknown,Unknown
Intel Pentium M 2.13GHz,Pentium M 2.13GHz,Intel,271,1,27.0,"H-PBGA479, PPGA4",Laptop
VIA Nano U2250 (1.6GHz Capable),VIA Nano U2250 (1.6GHz Capable),Unknown,270,1,8.0,BGA400,Laptop
Intel Pentium M 2.00GHz,Pentium M 2.00GHz,Intel,270,1,21.0,"H-PBGA479, PPGA4",Laptop
ARM Cortex-A7 4 Core 1200 MHz,ARM Cortex A7 4 Core 1200 MHz,Intel,270,4,,unknown,Unknown
Mobile AMD Sempron 3000+,Mobile AMD Sempron 3000+,AMD,269,1,,unknown,Laptop
